date,precip_mm,location,latitude,longitude,source,region
2015-05-08,9.33,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-09,0.33,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-10,3.4,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-11,1.44,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-12,5.24,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-13,3.95,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-14,2.03,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-15,10.91,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-16,11.69,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-17,9.98,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-18,2.1,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-19,8.97,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-20,6.81,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-21,2.19,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-22,17.01,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-23,17.45,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-24,1.31,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-25,1.38,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-26,1.64,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-27,1.24,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-28,0.79,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-29,0.68,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-30,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-05-31,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-01,0.23,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-02,2.24,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-03,0.42,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-04,1.51,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-05,0.53,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-06,14.51,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-07,21.41,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-08,5.25,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-09,12.49,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-10,5.22,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-11,3.94,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-12,29.68,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-13,27.09,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-14,17.27,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-15,4.18,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-16,6.64,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-17,0.65,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-18,0.66,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-19,0.4,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-20,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-21,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-22,1.66,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-23,1.65,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-24,0.35,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-06-25,1.42,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
